Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,city,state,country,types
Stout - American Imperial,Southern Tier Brewing Company,Southern Tier Brewing Company Choklat,"Notes:Choklat is every bit a dessert beer, encompassing the complexity of the darkest, bittersweet candy together with that of the original frothy beverage. We combine the finest ingredients to tempt your senses & renew the power & interrelation of history in every bottle.Cacao is a mystical bean. We're not surprises that ancient hieroglyphs depict chocolate being poured for rulers & gods.\t",10.0,50,80,3,153,18,39,110,4,0,10,20,17,158,4.467028,4.111853,4.177379,4.321786,4.060935,Lakewood,NY,US,"Brewery, Bar, Eatery"
Stout - American Imperial,Southern Tier Brewing Company,Southern Tier Brewing Company Choklat,"Notes:Choklat is every bit a dessert beer, encompassing the complexity of the darkest, bittersweet candy together with that of the original frothy beverage. We combine the finest ingredients to tempt your senses & renew the power & interrelation of history in every bottle.Cacao is a mystical bean. We're not surprises that ancient hieroglyphs depict chocolate being poured for rulers & gods.\t",10.0,50,80,3,153,18,39,110,4,0,10,20,17,158,4.467028,4.111853,4.177379,4.321786,4.060935,Pittsburgh,PA,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - American Imperial,Southern Tier Brewing Company,Southern Tier Brewing Company Choklat,"Notes:Choklat is every bit a dessert beer, encompassing the complexity of the darkest, bittersweet candy together with that of the original frothy beverage. We combine the finest ingredients to tempt your senses & renew the power & interrelation of history in every bottle.Cacao is a mystical bean. We're not surprises that ancient hieroglyphs depict chocolate being poured for rulers & gods.\t",10.0,50,80,3,153,18,39,110,4,0,10,20,17,158,4.467028,4.111853,4.177379,4.321786,4.060935,Cleveland,OH,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - American Imperial,Southern Tier Brewing Company,Southern Tier Brewing Company Warlock,"Notes:Imperial stout brewed with pumpkins Warlock is brewed to enchant your palate on its own and also to counterpoint our Imperial Ale, Pumking. Make your own black magic by carefully pouring this Imperial Stout into a goblet.Dark and mysterious, the Blackwater Series is serious about high gravity. Reanimate your senses with Warlock’s huge roasted malt character, moderate carbonation and spicy pumpkin pie aroma.\t",8.6,50,80,3,50,13,20,37,1,2,68,9,52,76,3.625,4.125,3.875,4.0,4.0,Lakewood,NY,US,"Brewery, Bar, Eatery"
Stout - American Imperial,Southern Tier Brewing Company,Southern Tier Brewing Company Warlock,"Notes:Imperial stout brewed with pumpkins Warlock is brewed to enchant your palate on its own and also to counterpoint our Imperial Ale, Pumking. Make your own black magic by carefully pouring this Imperial Stout into a goblet.Dark and mysterious, the Blackwater Series is serious about high gravity. Reanimate your senses with Warlock’s huge roasted malt character, moderate carbonation and spicy pumpkin pie aroma.\t",8.6,50,80,3,50,13,20,37,1,2,68,9,52,76,3.625,4.125,3.875,4.0,4.0,Pittsburgh,PA,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - American Imperial,Southern Tier Brewing Company,Southern Tier Brewing Company Warlock,"Notes:Imperial stout brewed with pumpkins Warlock is brewed to enchant your palate on its own and also to counterpoint our Imperial Ale, Pumking. Make your own black magic by carefully pouring this Imperial Stout into a goblet.Dark and mysterious, the Blackwater Series is serious about high gravity. Reanimate your senses with Warlock’s huge roasted malt character, moderate carbonation and spicy pumpkin pie aroma.\t",8.6,50,80,3,50,13,20,37,1,2,68,9,52,76,3.625,4.125,3.875,4.0,4.0,Cleveland,OH,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - American Imperial,Southern Tier Brewing Company,Southern Tier Brewing Company Mokah,"Notes:As scientists, our brewers utilize their materials to exacting standards. As artists, they couldn’t resist the temptation to combine two of our highly acclaimed Blackwater Series Imperial Stouts: Jahva and Choklat. Alone each is perfect, but together as Mokah they are an inimitable expression of two of the world’s most sought after flavors. Enjoy Mokah stout with – or as – your favorite dessert!\t",10.0,50,80,5,108,17,70,87,2,0,1,18,8,126,4.261029,4.0,4.050551,4.160846,3.952206,Lakewood,NY,US,"Brewery, Bar, Eatery"
Stout - American Imperial,Southern Tier Brewing Company,Southern Tier Brewing Company Mokah,"Notes:As scientists, our brewers utilize their materials to exacting standards. As artists, they couldn’t resist the temptation to combine two of our highly acclaimed Blackwater Series Imperial Stouts: Jahva and Choklat. Alone each is perfect, but together as Mokah they are an inimitable expression of two of the world’s most sought after flavors. Enjoy Mokah stout with – or as – your favorite dessert!\t",10.0,50,80,5,108,17,70,87,2,0,1,18,8,126,4.261029,4.0,4.050551,4.160846,3.952206,Pittsburgh,PA,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - American Imperial,Southern Tier Brewing Company,Southern Tier Brewing Company Mokah,"Notes:As scientists, our brewers utilize their materials to exacting standards. As artists, they couldn’t resist the temptation to combine two of our highly acclaimed Blackwater Series Imperial Stouts: Jahva and Choklat. Alone each is perfect, but together as Mokah they are an inimitable expression of two of the world’s most sought after flavors. Enjoy Mokah stout with – or as – your favorite dessert!\t",10.0,50,80,5,108,17,70,87,2,0,1,18,8,126,4.261029,4.0,4.050551,4.160846,3.952206,Cleveland,OH,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - Sweet / Milk,Southern Tier Brewing Company,Southern Tier Brewing Company 2X Stout,Notes:,7.5,15,25,11,89,13,35,62,10,0,7,17,7,86,3.45,3.7,3.75,3.7,3.575,Lakewood,NY,US,"Brewery, Bar, Eatery"
Stout - Sweet / Milk,Southern Tier Brewing Company,Southern Tier Brewing Company 2X Stout,Notes:,7.5,15,25,11,89,13,35,62,10,0,7,17,7,86,3.45,3.7,3.75,3.7,3.575,Pittsburgh,PA,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - Sweet / Milk,Southern Tier Brewing Company,Southern Tier Brewing Company 2X Stout,Notes:,7.5,15,25,11,89,13,35,62,10,0,7,17,7,86,3.45,3.7,3.75,3.7,3.575,Cleveland,OH,US,"Brewery, Bar, Eatery, Beer-to-go"
Wheat Beer - American Pale,Southern Tier Brewing Company,Southern Tier Brewing Company Hop Sun (Summer Wheat Beer),Notes:,5.1,10,35,29,25,6,58,20,56,1,56,72,3,76,3.857294,3.691332,3.806554,3.881607,4.131078,Lakewood,NY,US,"Brewery, Bar, Eatery"
Wheat Beer - American Pale,Southern Tier Brewing Company,Southern Tier Brewing Company Hop Sun (Summer Wheat Beer),Notes:,5.1,10,35,29,25,6,58,20,56,1,56,72,3,76,3.857294,3.691332,3.806554,3.881607,4.131078,Pittsburgh,PA,US,"Brewery, Bar, Eatery, Beer-to-go"
Wheat Beer - American Pale,Southern Tier Brewing Company,Southern Tier Brewing Company Hop Sun (Summer Wheat Beer),Notes:,5.1,10,35,29,25,6,58,20,56,1,56,72,3,76,3.857294,3.691332,3.806554,3.881607,4.131078,Cleveland,OH,US,"Brewery, Bar, Eatery, Beer-to-go"
Winter Warmer,Southern Tier Brewing Company,Southern Tier Brewing Company Old Man (Winter Ale),"Notes:Our winter offering is here to quell your shivers and get you through the coldest of nights. A rich marriage of hops and barley to cast light upon the evening and melt your mind out of the snowdrifts. Old Man Winter’s earthy hue and thickness lace around the glass, inviting you to linger in its warmth and share the spirits of the season with your friends and family. A deceptively strong brew, it’s best to sit and ponder with this old man, sip by sip.ABV: 7.5%Fermentation: Ale yeast, three varieties of hops, two varieties of maltsColor: Brown with ruby huesNotes: Roasted malts, a touch of smoke, pepper, some floral hopsFlavor: Hints of bittersweet cocoa, nutty, defined malts and balancing hopsBitterness: Moderate (57 IBU)Availability: Nov - Dec\t",7.5,35,50,3,31,34,58,38,26,0,29,73,24,82,3.709052,3.880388,3.770474,3.794181,3.798491,Lakewood,NY,US,"Brewery, Bar, Eatery"
Winter Warmer,Southern Tier Brewing Company,Southern Tier Brewing Company Old Man (Winter Ale),"Notes:Our winter offering is here to quell your shivers and get you through the coldest of nights. A rich marriage of hops and barley to cast light upon the evening and melt your mind out of the snowdrifts. Old Man Winter’s earthy hue and thickness lace around the glass, inviting you to linger in its warmth and share the spirits of the season with your friends and family. A deceptively strong brew, it’s best to sit and ponder with this old man, sip by sip.ABV: 7.5%Fermentation: Ale yeast, three varieties of hops, two varieties of maltsColor: Brown with ruby huesNotes: Roasted malts, a touch of smoke, pepper, some floral hopsFlavor: Hints of bittersweet cocoa, nutty, defined malts and balancing hopsBitterness: Moderate (57 IBU)Availability: Nov - Dec\t",7.5,35,50,3,31,34,58,38,26,0,29,73,24,82,3.709052,3.880388,3.770474,3.794181,3.798491,Pittsburgh,PA,US,"Brewery, Bar, Eatery, Beer-to-go"
Winter Warmer,Southern Tier Brewing Company,Southern Tier Brewing Company Old Man (Winter Ale),"Notes:Our winter offering is here to quell your shivers and get you through the coldest of nights. A rich marriage of hops and barley to cast light upon the evening and melt your mind out of the snowdrifts. Old Man Winter’s earthy hue and thickness lace around the glass, inviting you to linger in its warmth and share the spirits of the season with your friends and family. A deceptively strong brew, it’s best to sit and ponder with this old man, sip by sip.ABV: 7.5%Fermentation: Ale yeast, three varieties of hops, two varieties of maltsColor: Brown with ruby huesNotes: Roasted malts, a touch of smoke, pepper, some floral hopsFlavor: Hints of bittersweet cocoa, nutty, defined malts and balancing hopsBitterness: Moderate (57 IBU)Availability: Nov - Dec\t",7.5,35,50,3,31,34,58,38,26,0,29,73,24,82,3.709052,3.880388,3.770474,3.794181,3.798491,Cleveland,OH,US,"Brewery, Bar, Eatery, Beer-to-go"
Bitter - English Extra Special / Strong Bitter (ESB),Greene King / Morland Brewery,Greene King / Morland Brewery Abbot Ale,"Notes:Hailed by the late beer writer Michael Jackson as ‘one of the great characters of the beer world’, Abbot Ale is brewed for quality of the highest order. Abbot is an irresistible ale with masses of fruit characters, a malty richness and superb hop balance. It is brewed longer to a unique recipe, which makes it the full-flavoured, smooth and mature beer it is today.\t",5.0,20,40,9,42,5,30,63,16,3,19,51,7,92,3.5,3.873512,3.712798,3.633929,3.764881,Suffolk,GB2,GB,Brewery
Bitter - English,Greene King / Morland Brewery,Greene King / Morland Brewery Ruddles County,Notes:,4.7,20,35,15,60,9,65,49,20,0,24,93,14,97,3.564171,3.852941,3.692513,3.754011,3.818182,Suffolk,GB2,GB,Brewery
Bitter - English,Greene King / Morland Brewery,Greene King / Morland Brewery Old Golden Hen,Notes:,4.1,20,35,14,41,6,67,48,44,3,72,85,11,69,3.333333,3.333333,3.666667,3.833333,3.5,Suffolk,GB2,GB,Brewery
Cream Ale,Greene King / Morland Brewery,Greene King / Morland Brewery Wexford Irish Cream Ale,"Notes:Based on a traditional Irish recipe from County Wexford that dates back to 1810, we use only the best ingredients to ensure that our Wexford Ale has a smooth mellow creaminess we believe you will enjoy.\t",5.0,10,22,9,103,9,21,64,28,4,31,50,10,107,3.234328,3.991045,3.561194,3.259701,3.528358,Suffolk,GB2,GB,Brewery
IPA - English,Greene King / Morland Brewery,Greene King / Morland Brewery Greene King IPA,Notes:,3.6,35,60,15,52,5,52,20,12,0,11,63,19,37,3.232759,3.525862,3.25,3.241379,3.431034,Suffolk,GB2,GB,Brewery
Mild Ale - English Pale,Greene King / Morland Brewery,Greene King / Morland Brewery Hop,"Notes:Formerly marketed as ""The Beer To Dine For"".\t",5.0,15,25,26,35,2,64,37,32,0,32,76,9,51,3.307692,3.365385,3.461538,3.403846,3.634615,Suffolk,GB2,GB,Brewery
Old Ale,Greene King / Morland Brewery,Greene King / Morland Brewery Olde Suffolk English (Strong Suffolk Vintage) Ale,Notes:,6.0,30,65,16,57,14,31,118,31,0,66,34,27,131,3.935764,3.928819,3.935764,4.09375,4.039931,Suffolk,GB2,GB,Brewery
Pale Ale - English,Greene King / Morland Brewery,Greene King / Morland Brewery Old Speckled Hen,"Notes:Old Speckled Hen is popular with ale drinkers up and down the country and renowned for its unique character and consistent quality.The great British ale was first brewed to commemorate the 50th anniversary of the MG car factory in Abingdon, Oxfordshire. It was even named after the factory’s old run around car which was often parked outside the paint shop. Spattered in paint, the car became known as the “Owld Speckl’d Un”. The eagle-eyed might even see the resemblance between MG’s logo and the Old Speckled Hen label!More than 35 years on, the great premium ale continues to be a finely balanced beer with a distinctive rich, malty taste and fruity aroma.\t",5.0,20,40,21,48,21,56,66,30,0,34,78,13,102,3.324943,3.858124,3.508581,3.451373,3.599542,Suffolk,GB2,GB,Brewery
Strong Ale - English,Greene King / Morland Brewery,Greene King / Morland Brewery Hen's Tooth,Notes:,6.5,40,60,17,52,23,33,59,23,0,28,46,5,82,3.218605,3.809302,3.453488,3.393023,3.355814,Suffolk,GB2,GB,Brewery
Strong Ale - English,Greene King / Morland Brewery,Greene King / Morland Brewery Old Crafty Hen,"Notes:A strong fine ale combines the malty taste with a smooth raisin finish.Challenger provides a key herbal dry hop character, First Gold and Goldings give some citrus fruit and crystal malt provides warming toffee in the main beer of this blended ale. The use of some old 5X 12% ale adds dried fruit and raisin and produces a complex flavoured and richly satisfying ale. The tradition of brewing a Strong Suffolk Ale and maturing in Oak Vats is one that unlike other UK brewers, GK have continued - the practice is mentioned in 1810 in connection with GK.\t",6.5,40,60,16,42,36,42,97,47,0,77,67,17,114,3.833333,4.125,3.833333,3.708333,3.75,Suffolk,GB2,GB,Brewery
Bitter - English Extra Special / Strong Bitter (ESB),Foster's Group Limited,Foster's Group Limited Foster's Premium Ale,Notes:,5.5,20,40,21,43,15,45,53,17,0,16,73,7,95,2.701613,3.387097,3.044355,2.919355,3.104839,Southbank,,AU,Brewery
Bitter - English,Foster's Group Limited,Foster's Group Limited Foster's Special Bitter,Notes:,5.0,20,35,20,39,8,37,31,30,1,19,43,2,56,2.663462,3.451923,2.919872,2.88141,3.157051,Southbank,,AU,Brewery
Lager - Adjunct,Foster's Group Limited,Foster's Group Limited Foster's Lager,Notes:,5.0,8,18,17,30,7,25,24,5,0,4,31,1,38,2.47089,2.934075,2.726027,2.614726,2.880993,Southbank,,AU,Brewery
Bitter - English Extra Special / Strong Bitter (ESB),Anderson Valley Brewing Company,Anderson Valley Brewing Company Boont ESB,"Notes:Inspired by the classic “Bitters” from Great Britain, our Belk’s ESB is an innovative take on the style. With a deep, golden hue and big malty foundation, the spicy, herbal hop aromas and crisp, bitter bite give a West Coast flair to this classic recipe.Formerly Boont ESB.\t",6.8,20,40,21,48,16,83,48,43,1,52,123,22,73,3.69883,3.906433,3.817251,3.856725,3.798246,Boonville,CA,US,"Brewery, Bar, Beer-to-go"
Cream Ale,Anderson Valley Brewing Company,Anderson Valley Brewing Company Summer Solstice Cerveza Crema,"Notes:Also known as Summer Solstice Cerveza CremaOur Summer Solstice Seasonal Ale is a slightly sweet, malty session beer with a creamy mouth feel and clean finish. With hints of caramel in the nose and a touch of spice, it’s become affectionately known as “cream soda for adults”. The unique flavors and superior drinkability make for the ultimate refreshment on a hot summer day.\t",5.0,10,22,15,70,7,25,70,19,1,22,37,22,91,3.529167,3.670833,3.790278,3.713889,3.770833,Boonville,CA,US,"Brewery, Bar, Beer-to-go"
Dubbel,Anderson Valley Brewing Company,Anderson Valley Brewing Company Brother David's Belgian-style Double Ale,"Notes:Inspired by the classic Dubbels of Belgium, our Brother David’s Double has a dark brown body and aromas of warm cocoa, banana, and cloves. Specialty malts impart a toasted, nutty character and flavors of chocolate-covered cherries and candied fruits, while the subdued hop profile and Abbey yeast create spicy, herbal notes to compliment the warm, slightly sweet finish. Winner of a Gold Medal in the 2011 Great American Beer Festival™, Brother David’s Double is a truly complex and potent ale meant to be savored or shared with friends.\t",9.0,15,30,11,58,43,33,145,50,1,90,42,40,104,3.658103,3.63834,3.555336,3.579051,3.537549,Boonville,CA,US,"Brewery, Bar, Beer-to-go"
IPA - American,Anderson Valley Brewing Company,Anderson Valley Brewing Company Hop Ottin' IPA,"Notes:Our Hop Ottin’ IPA is brewed and dry-hopped with copious amounts of Columbus and Cascade. This beer is a showcase of the bright citrusy aromas, bold grapefruit and pine-like flavors, and resiny bitterness that hop heads crave. With a brilliant, deep amber color and solid malt backbone, hints of citron, roses, and bergamot climax with a dry, herbal finish in this well-balanced interpretation of a West Coast IPA.\t",7.0,50,70,30,29,12,69,48,69,0,75,99,2,61,4.002871,4.110526,3.950239,4.047847,4.007656,Boonville,CA,US,"Brewery, Bar, Beer-to-go"
Red Ale - American Amber / Red,Anderson Valley Brewing Company,Anderson Valley Brewing Company Boont Amber Ale,"Notes:Balance is what makes our Boont Amber Ale so unique: rich, crystal malts give this beer a deep copper hue and contribute a slight caramel sweetness while the herbal, spicy bitterness from carefully selected whole-cone hops impart a crisp, clean finish. Hints of sun toasted grain, toffee, and fruity esters compliment the mellow, noble hop aroma.\t",5.8,25,45,17,32,10,32,76,19,0,20,36,6,93,3.725983,3.894105,3.834061,3.902838,3.967249,Boonville,CA,US,"Brewery, Bar, Beer-to-go"
Stout - Oatmeal,Anderson Valley Brewing Company,Anderson Valley Brewing Company Barney Flats Oatmeal Stout,"Notes:The deep ebony color, voluptuous mahogany head and bold, roasty flavors in our Barney Flats Oatmeal Stout are what serious beer drinkers expect from this style. Aromas of freshly baked bread, espresso, and dried cherries meld seamlessly with rich toffee flavors and a creamy mouth feel to create an unparalleled drinking experience.\t",5.8,20,40,12,57,8,46,56,14,0,22,18,4,121,3.950777,4.091321,3.987047,4.099741,4.088731,Boonville,CA,US,"Brewery, Bar, Beer-to-go"
Tripel,Anderson Valley Brewing Company,Anderson Valley Brewing Company Brother David's Triple Abbey Style Ale,"Notes:Similar to Belgian-style Strong Pales, the Tripel is often characterized by its lighter color, spicy aromatics, and complexity. Brother David’s Triple is brewed with copious amounts of pale malts as well as Belgian candi sugar, giving it a deep golden hue, medium body and rich mouth feel. The dense head gives off aromas of candied orange peel, clover honey, pears, and a hint of freshly mown fields. The fruity esters and spicy hop flavors balance the phenolic characteristics leading to a peppery, citrusy finish.\t",10.0,20,40,15,38,30,22,96,55,0,84,39,37,53,3.509434,3.407233,3.43239,3.418239,3.34434,Boonville,CA,US,"Brewery, Bar, Beer-to-go"
Winter Warmer,Anderson Valley Brewing Company,Anderson Valley Brewing Company Winter Solstice Seasonal Ale,"Notes:Winter Solstice® is our take on the classic style of “winter warmer.” Boasting a deep amber hue and rich mouthfeel, its creamy finish will lift your spirits. Hints of toffee, spice, and caramel tease the senses making this the perfect ale to share with friends and family during the cold days and long nights of winter.\t",6.9,35,50,6,31,26,9,68,7,0,20,8,53,82,3.769103,3.88289,3.812292,3.891196,3.848007,Boonville,CA,US,"Brewery, Bar, Beer-to-go"
Bitter - English Extra Special / Strong Bitter (ESB),Green Man Brewery,Green Man Brewery Green Man ESB,"Notes:A malty amber ale boasting rich toasted and caramel flavors, Green Man ESB is one of our award-winning signature brews. Our blend of authentic British malts and hops creates a nutty aroma, full body, and a sweet finish. Prepare yourself for a truly exceptional interpretation of a traditional English style.\t",5.5,20,40,15,39,7,46,65,23,0,29,70,6,123,3.553571,3.785714,3.839286,3.857143,3.910714,Asheville,NC,US,"Brewery, Bar, Eatery, Beer-to-go"
Bitter - English Extra Special / Strong Bitter (ESB),Green Man Brewery,Green Man Brewery Green Man ESB,"Notes:A malty amber ale boasting rich toasted and caramel flavors, Green Man ESB is one of our award-winning signature brews. Our blend of authentic British malts and hops creates a nutty aroma, full body, and a sweet finish. Prepare yourself for a truly exceptional interpretation of a traditional English style.\t",5.5,20,40,15,39,7,46,65,23,0,29,70,6,123,3.553571,3.785714,3.839286,3.857143,3.910714,Dunedin,,NZ,"Brewery, Beer-to-go"
IPA - English,Green Man Brewery,Green Man Brewery Green Man India Pale Ale,"Notes:Green Man India Pale Ale is delectably hoppy with a properly balanced body. Generous hop additions give it a wonderful bitterness and pleasant floral nose, while our combination of traditional British malts creates a rich, satisfying flavor and alluring copper color. This authentic English-style IPA is our flagship ale.\t",6.2,35,60,20,35,5,74,15,27,0,30,115,6,50,3.457143,3.857143,3.714286,3.628571,3.728571,Asheville,NC,US,"Brewery, Bar, Eatery, Beer-to-go"
IPA - English,Green Man Brewery,Green Man Brewery Green Man India Pale Ale,"Notes:Green Man India Pale Ale is delectably hoppy with a properly balanced body. Generous hop additions give it a wonderful bitterness and pleasant floral nose, while our combination of traditional British malts creates a rich, satisfying flavor and alluring copper color. This authentic English-style IPA is our flagship ale.\t",6.2,35,60,20,35,5,74,15,27,0,30,115,6,50,3.457143,3.857143,3.714286,3.628571,3.728571,Dunedin,,NZ,"Brewery, Beer-to-go"
Porter - English,Green Man Brewery,Green Man Brewery Green Man Porter,"Notes:Dark, full-bodied, and rich in flavor, Green Man Porter is wonderfully easy to drink. It offers a creamy, smooth mouthfeel and finishes with distinctive chocolate notes. This traditionally crafted, award-winning British-style Porter, like a true rock star, enjoys a legendary following.\t",6.0,20,30,9,93,10,58,60,10,1,7,43,7,120,3.764706,3.735294,3.823529,3.882353,3.911765,Asheville,NC,US,"Brewery, Bar, Eatery, Beer-to-go"
Porter - English,Green Man Brewery,Green Man Brewery Green Man Porter,"Notes:Dark, full-bodied, and rich in flavor, Green Man Porter is wonderfully easy to drink. It offers a creamy, smooth mouthfeel and finishes with distinctive chocolate notes. This traditionally crafted, award-winning British-style Porter, like a true rock star, enjoys a legendary following.\t",6.0,20,30,9,93,10,58,60,10,1,7,43,7,120,3.764706,3.735294,3.823529,3.882353,3.911765,Dunedin,,NZ,"Brewery, Beer-to-go"
Bitter - English Extra Special / Strong Bitter (ESB),SweetWater Brewing Company,SweetWater Brewing Company Sweetwater Motor Boat,Notes:,5.6,20,40,18,48,6,92,57,38,2,39,144,9,87,3.757353,3.805147,3.698529,3.805147,3.878676,Atlanta,GA,US,"Brewery, Bar"
Brown Ale - English,SweetWater Brewing Company,SweetWater Brewing Company Sweetwater Georgia Brown,"Notes:The malt bill gives a subtle nutty & toasty flavors and the chocolate malt provides a rich cocoa flavor with aromas that range from roasted coffee to chocolate-covered dark fruits. The hops used provides excellent bitterness in relation to the chocolate notes of the malt. The flavor and aroma provide clean floral, fruity and herbal notes. A light dose of hops brings balance to all.\t",5.1,15,25,10,66,3,57,80,9,0,12,53,2,138,3.445876,3.502577,3.443299,3.528351,3.693299,Atlanta,GA,US,"Brewery, Bar"
Fruit and Field Beer,SweetWater Brewing Company,SweetWater Brewing Company Sweetwater Blue,Notes:,4.9,5,45,14,10,2,9,84,21,0,64,11,0,43,3.613537,3.187773,3.266376,3.30131,3.447598,Atlanta,GA,US,"Brewery, Bar"
IPA - American,SweetWater Brewing Company,SweetWater Brewing Company Sweetwater IPA,"Notes:This mammoth IPA is defined by generous quantities of juicy American hops. The extensive dry hopping process contributes to its bright and flavorful character. This beer is unfiltered to leave all the natural flavors intact and bottle conditioned to stay super fresh.Malt Bill: Munich, Wheat, 2-Row, 70/80Hops: Columbus, Chinook, Cascade, Simcoe, GoldingDry Hop: Simcoe, US Golding50 IBU\t",6.3,50,70,25,44,13,75,57,58,1,86,103,12,59,4.071752,3.960725,3.925227,4.053625,4.154079,Atlanta,GA,US,"Brewery, Bar"
Pale Ale - American,SweetWater Brewing Company,SweetWater Brewing Company Sweetwater 420 Extra Pale Ale,Notes:,5.4,25,50,12,25,6,42,36,37,1,48,69,9,47,3.512241,3.634652,3.603578,3.665725,3.862524,Atlanta,GA,US,"Brewery, Bar"
Wheat Beer - Hefeweizen,SweetWater Brewing Company,SweetWater Brewing Company Sweetwater Waterkeeper Hefeweizen,Notes:,5.7,10,15,15,36,6,15,21,21,0,47,26,25,40,3.75,3.946429,3.732143,3.660714,3.714286,Atlanta,GA,US,"Brewery, Bar"
Winter Warmer,SweetWater Brewing Company,SweetWater Brewing Company Sweetwater Festive Ale,"Notes:A strong ale brewed with generous amounts of rich malt, coupled with a taint of cinnamon and mace\t",7.7,35,50,6,60,25,41,64,7,0,15,41,86,80,3.73431,3.83682,3.830544,3.891213,3.845188,Atlanta,GA,US,"Brewery, Bar"
Bitter - English Extra Special / Strong Bitter (ESB),Short's Brewing Company,Short's Brewing Company Short's Autumn Ale,Notes:A malty amber ale over toned with slight caramel flavors and notable pleasant hoppiness throughout. An international award winning recipe. 30 I.B.U.'s13 deg. Plato 5.75 % A.B.V\t,5.75,20,40,17,41,15,66,68,33,0,50,94,7,107,3.52027,3.641892,3.547297,3.486486,3.540541,Bellaire,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Brown Ale - American,Short's Brewing Company,Short's Brewing Company Short's Bellaire Brown Ale,"Notes:Bellaire Brown is our flagship Brown Ale. Full-flavored with notes of sweet caramel, chocolate, and toasted malt, Bellaire Brown is balanced with a mild and earthy hop quality. This ale is dark and rich with a medium body. It’s hardly classifiable as a brown, but is certainly considered a delicious masterpiece.Bellaire Brown was originally created to appeal to people who enjoyed drinking coffee, and to beer drinkers who are not interested in hoppy options. When Joe Short was creating the Bellaire Brown recipe, he desired a beer that was meatier and burlier than most browns. Bellaire Brown is a great gate-way beer for drinkers to be introduced to darker beer varieties.19 IBU\t",7.0,25,45,11,63,10,24,72,5,0,11,22,4,118,3.732843,3.789216,3.779412,3.828431,3.904412,Bellaire,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Brown Ale - American,Short's Brewing Company,Short's Brewing Company Good Humans,"Notes:Good Humans was originally created to showcase one of Briess Malting Company’s new malt varieties. Originally planned as a one-off beer, it quickly became a favorite brew. Good Humans is a Double Brown Ale made with Carabrown Malt and dry hopped with Simcoe and Golding hops. The brew has sweet malty esters that are met by huge toasted caramel and toffee flavors. The finish is dry with a bouquet of hops.40 IBU\t",9.15,25,45,16,59,20,65,65,24,0,26,90,8,117,3.892,3.868,3.768,3.804,3.772,Bellaire,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Brown Ale - English,Short's Brewing Company,Short's Brewing Company Short's The Woodmaster,"Notes:Woodmaster is a high gravity, American Brown Ale fermented with Northern Michigan maple syrup and toasted pecans. This dark brown, full bodied ale is rich with sweet malt and syrup flavors. These flavors are complemented by the presence of hop aromas and a faint nuttiness.24 IBU\t",9.9,15,25,9,49,49,18,158,25,0,38,28,15,152,3.833333,3.764368,3.787356,3.666667,3.574713,Bellaire,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
California Common / Steam Beer,Short's Brewing Company,Short's Brewing Company Short's Village Reserve,"Notes:Fermented as ""beer"" from wort extracted from fully modified two-row pale malt which provides a beautiful straw color. This beer is aggressively hopped with Perle and Centennial hops. Its light body and low alcohol allow the hops to become more prominent throughout the beer. The floral aroma is attributed to heavy handfuls of centennial hops at the finish of the boil. Hearty handfuls of hops lend a grape fruity tone in the flavor and finish of the beer.40 I.B.U.'s10.6 deg.  Plato4.2% A.B.V.\t",4.7,35,45,25,31,18,78,28,51,5,63,118,4,61,3.8,4.1,4.1,4.0,4.0,Bellaire,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
Fruit and Field Beer,Short's Brewing Company,Short's Brewing Company Imperial Soft Parade,"Notes:Soft Parade is a Fruit Rye Ale brewed with rye flakes and loaded with pureed strawberries, blueberries, raspberries and blackberries. The rose colored ale has aromas of ripe strawberries and grain. With flavors of fresh berries and rye, Soft Parade finishes dry and eminently drinkable.Soft Parade was originally developed because Joe Short wanted to create a beer that incorporated a medley of berries, had a great color, and appealed to wine drinkers. The name Soft Parade stemmed from two moments in Joe Short’s life. First, because Joe worked as a brewer at the Traverse Brewing Company and The Doors album, The Soft Parade, played every day at the end of the brew shift. The second moment occurred when Joe was driving by himself, flipping through CD’s in his car, and came across The Soft Parade album again. At the time, The Soft Parade beer had not been named and it dawned on Joe that the medley of fruit infusing into the golden beer reminded him of a soft parade. That day the beer was named!\t",7.5,5,45,18,60,11,5,168,68,0,154,14,6,53,4.194444,3.888889,3.805556,3.861111,4.027778,Bellaire,MI,US,"Brewery, Bar, Eatery, Beer-to-go"
