Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,city,state,country,types
Farmhouse Ale - Bière de Garde,Southampton Publick House,Southampton Publick House French Country Christmas Ale (Biere De Garde),Notes:,6.6,20,30,25,43,22,19,92,59,0,67,35,40,82,4.036765,4.147059,4.132353,4.088235,4.110294,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
IPA - English,Southampton Publick House,Southampton Publick House Southampton Burton Ale,Notes:,6.5,35,60,20,33,18,89,77,61,0,67,127,7,100,3.916667,3.888889,3.861111,3.944444,4.138889,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
Porter - Baltic,Southampton Publick House,Southampton Publick House Southampton Imperial Baltic Porter,Notes:,7.2,25,45,11,90,31,79,85,20,0,38,46,8,137,3.880665,3.935045,3.888218,4.006042,4.018127,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
Porter - Imperial,Southampton Publick House,Southampton Publick House Southampton Imperial Porter,Notes:,7.2,35,50,7,89,18,48,59,9,2,21,17,11,102,3.305556,3.777778,3.449074,3.453704,3.546296,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
Pumpkin Beer,Southampton Publick House,Southampton Publick House Southampton Pumpkin Ale,Notes:,5.5,5,70,14,53,10,16,57,14,2,122,20,155,73,3.862403,3.757752,3.655039,3.773256,3.829457,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
Strong Ale - Belgian Pale,Southampton Publick House,Southampton Publick House Southampton Grand Cru,Notes:,9.5,20,40,15,49,61,22,115,82,0,103,46,79,45,4.230769,4.218531,4.23951,4.344406,4.20979,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
Wheat Beer - Witbier,Southampton Publick House,Southampton Publick House Double White Ale,Notes:,6.6,10,20,16,52,18,27,18,70,0,83,45,38,36,3.970137,3.93686,3.961604,4.055461,4.103242,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
Altbier,The Olde Mecklenburg Brewery,The Olde Mecklenburg Brewery OMB Copper,"Notes:OMB’s flagship, Copper, is an authentic Düsseldorf style “Altbier” or Amber Ale. There are no crazy flavors or gimmicks with Copper – its full-flavored start transitions to a smooth, balanced, easy-drinking finish. It’s the beer that tastes like beer.\t",4.8,25,50,25,35,4,38,39,13,1,8,60,16,97,3.847826,4.043478,4.119565,3.98913,4.184783,Charlotte,NC,US,"Brewery, Bar, Eatery, Beer-to-go"
Bock - Maibock,The Olde Mecklenburg Brewery,The Olde Mecklenburg Brewery Fruehbock (Früh Bock),"Notes:From the Brewery website: Fruehbock (pron. ""Froo Bock"") - Literally ""Early"" Bock, Frueh is also short for Fruehling which is the German word for Spring. Try our Spring Bock as the cold winter fades and the warm spring winds begin to blow. This deep golden, slightly malty bock beer comes in at 6% ABV, which you'll find hard to believe because it's so smooth and refreshing. Don't wait to try it...because like springtime in Charlotte, this seasonal will come and go quickly.Note: Früh = Frueh\t",6.0,20,38,37,38,14,40,65,28,0,38,70,8,90,3.85,4.15,4.2,4.1,4.3,Charlotte,NC,US,"Brewery, Bar, Eatery, Beer-to-go"
Lager - Munich Dunkel,The Olde Mecklenburg Brewery,The Olde Mecklenburg Brewery Dunkel Lager,"Notes:Winter has met its match in the form of this classic Munich-style dark lager. Smooth, with caramel and roasted malt flavors courtesy of Dark Munich and Carafa malts, Dunkel offers an easy-drinking finish to even the coldest, darkest days of winter. It may be freezing outside, but the conditions inside this bottle of Dunkel are always absolutely perfect. Enjoy it all winter long.",4.9,15,25,19,50,5,42,58,3,2,6,51,6,123,3.78125,4.15625,4.21875,4.25,4.21875,Charlotte,NC,US,"Brewery, Bar, Eatery, Beer-to-go"
Altbier,Brauerei Pinkus Mueller,Brauerei Pinkus Mueller Organic Münster Alt,Notes:,5.1,25,50,35,31,5,35,50,55,5,52,66,8,77,3.534694,3.528571,3.608163,3.587755,3.767347,Münster,,DE,"Brewery, Bar"
Lager - Munich Dunkel,Brauerei Pinkus Mueller,Brauerei Pinkus Mueller Organic Pinkus Jubilate,Notes:,5.5,15,25,19,53,13,37,83,33,2,30,45,7,123,3.576389,3.868056,3.576389,3.520833,3.715278,Münster,,DE,"Brewery, Bar"
Pilsner - German,Brauerei Pinkus Mueller,Brauerei Pinkus Mueller Organic Ur Pils,Notes:,5.2,25,40,42,36,12,42,38,31,10,28,91,11,95,3.67907,3.669767,3.765116,3.767442,3.904651,Münster,,DE,"Brewery, Bar"
Wheat Beer - Hefeweizen,Brauerei Pinkus Mueller,Brauerei Pinkus Mueller Organic Hefe-Weizen,Notes:,5.0,10,15,15,28,4,12,17,41,2,44,23,20,50,3.42891,3.604265,3.533175,3.414692,3.668246,Münster,,DE,"Brewery, Bar"
Altbier,Yazoo Brewing Company,Yazoo Brewing Company Gerst Amber,"Notes:Check out a piece of Nashville brewing history! Gerst Brewery was the original Nashville brewery, but never recovered after prohibition. We are excited to partner with the Chandler Family, owners of the Gerst Haus Restaurant, to bring this beer back right where it belongs – Nashville, Tennessee.This is a very “clean” beer, with mostly German malts and a hint of flaked maize, remaining as true as possible to the original Gerst recipe.11 IBUs\t",5.1,25,50,10,19,1,21,30,11,4,8,24,2,65,3.833333,4.333333,3.833333,4.0,4.0,Nashville,TN,US,"Brewery, Bar, Eatery, Beer-to-go"
Brown Ale - American,Yazoo Brewing Company,Yazoo Brewing Company Dos Perros,"Notes:Many Mexican beer styles today are descendants of old Austrian styles, from when Austria ruled Mexico in the late 19th century. Our Dos Perros is made with German Munich malt, English Pale malt, and Chocolate malt, and hopped with Perle and Saaz hops. To lighten the body, as many Mexican brewers do, we add a small portion of flaked maize. The result is a wonderfully bready malt aroma, balanced with some maize sweetness and a noble hop finish.21 IBU\t",4.9,25,45,12,52,1,29,56,4,2,5,25,8,127,3.576923,3.557692,3.5,3.626923,3.811538,Nashville,TN,US,"Brewery, Bar, Eatery, Beer-to-go"
Porter - English,Yazoo Brewing Company,Yazoo Brewing Company Sly Rye Porter,"Notes:A rich, chocolaty English Porter with a clean finish. We use the finest floor-malted Maris Otter malts from England, the same malts used for the best single-malt scotch. A portion of malted rye gives a spicy, slightly dry finish.28 IBU\t",5.7,20,30,14,77,6,33,59,9,0,13,25,13,143,3.760417,3.770833,3.6875,3.84375,3.895833,Nashville,TN,US,"Brewery, Bar, Eatery, Beer-to-go"
Smoked Beer,Yazoo Brewing Company,Yazoo Brewing Company Sue,"Notes:The south is famous for smoking everything. Why not beer? Sue is a big, rich, smoky malt bomb of a beer, with mellow smokiness coming from barley malts smoked with cherry wood, and assertive bitterness from Galena and Perle hops to cleanse the finish.Original tap version was 7.5% ABV, bottled version is up to 9%.\t",9.0,20,30,14,74,14,60,48,11,1,29,52,117,108,4.119403,4.085821,4.126866,4.216418,4.130597,Nashville,TN,US,"Brewery, Bar, Eatery, Beer-to-go"
Wheat Beer - Hefeweizen,Yazoo Brewing Company,Yazoo Brewing Company Hefeweizen,"Notes:An authentic example of a Bavarian Hefeweizen. “Hefe” means cloudy or yeasty and “weizen” means wheat. This beer is made with mostly wheat and uses a true Hefeweizen yeast that gives it a fruity, banana aroma with just a hint of cloves. The tart finish makes this the perfect summer beer.13 IBU\t",5.0,10,15,11,29,6,8,24,34,1,58,8,34,47,3.731579,3.615789,3.668421,3.752632,3.852632,Nashville,TN,US,"Brewery, Bar, Eatery, Beer-to-go"
Altbier,Fordham Brewing Company,Fordham Brewing Company Fordham Copperhead Ale,Notes:The name isn’t a coincidence. This Düsseldorf style Altbier blends caramelized malted barley with pronounced hop character to create a subtle copper hue. Copperhead Ale is famous for its signature balanced flavor & impeccable smoothness.\t,5.2,25,50,9,32,9,29,54,13,1,11,32,2,112,3.202381,3.541667,3.267857,3.303571,3.482143,Annapolis,MD,US,Brewery
Altbier,Fordham Brewing Company,Fordham Brewing Company Fordham Copperhead Ale,Notes:The name isn’t a coincidence. This Düsseldorf style Altbier blends caramelized malted barley with pronounced hop character to create a subtle copper hue. Copperhead Ale is famous for its signature balanced flavor & impeccable smoothness.\t,5.2,25,50,9,32,9,29,54,13,1,11,32,2,112,3.202381,3.541667,3.267857,3.303571,3.482143,Dover,DE,US,"Brewery, Bar"
Lager - Helles,Fordham Brewing Company,Fordham Brewing Company Fordham Helles Lager,"Notes:Clean & refreshing, this Bavarian style lager uses four different German grains & three hop varieties to create an intricate flavor profile & a beautiful deep golden color. Helles is brewed in the style of Munich’s everyday drinking beer. Prost!\t",5.4,18,25,26,32,2,34,30,23,1,28,43,4,69,3.384615,3.423077,3.628205,3.602564,3.794872,Annapolis,MD,US,Brewery
Lager - Helles,Fordham Brewing Company,Fordham Brewing Company Fordham Helles Lager,"Notes:Clean & refreshing, this Bavarian style lager uses four different German grains & three hop varieties to create an intricate flavor profile & a beautiful deep golden color. Helles is brewed in the style of Munich’s everyday drinking beer. Prost!\t",5.4,18,25,26,32,2,34,30,23,1,28,43,4,69,3.384615,3.423077,3.628205,3.602564,3.794872,Dover,DE,US,"Brewery, Bar"
Stout - English,Fordham Brewing Company,Fordham Brewing Company Oyster Stout,"Notes:The legendary skipjack Rosie Parks once dredged for oysters on the Chesapeake Bay. Formerly the fasted of the fleet and a beauty to behold, she underwent construction and was relaunched on November 2, 2013. This 5.0% stout contains Chesapeake Bay Oyster shells.\t",5.0,20,40,5,26,2,8,14,4,9,2,5,0,24,3.9375,4.25,4.03125,4.09375,4.15625,Annapolis,MD,US,Brewery
Stout - English,Fordham Brewing Company,Fordham Brewing Company Oyster Stout,"Notes:The legendary skipjack Rosie Parks once dredged for oysters on the Chesapeake Bay. Formerly the fasted of the fleet and a beauty to behold, she underwent construction and was relaunched on November 2, 2013. This 5.0% stout contains Chesapeake Bay Oyster shells.\t",5.0,20,40,5,26,2,8,14,4,9,2,5,0,24,3.9375,4.25,4.03125,4.09375,4.15625,Dover,DE,US,"Brewery, Bar"
Altbier,Mother's Brewing Company,Mother's Brewing Company Three Blind Mice,"Notes:Three Blind Mice is inspired by our favorite qualities from English brown ales, German altbiers, and Irish reds. Mother’s trio of beer connoisseurs sipped away many a night, working to find this ideal combination. Mother’s beautiful brown beer is medium-bodied with caramel, toffee, and subtle chocolate malt flavors—all balanced by moderate hop notes and a clean, dry finish.Three Blind Mice combines components of several malty beers for the unique brown beer experience you've been missing. After lots of research to find the perfect styles for our base, the clear winners were the lighter body and caramel characters of Irish red ales, the soft chocolate and toffee flavors from English brown ales, and the hop component and balance of German altbiers. We used traditional elements from each beer style and added our own touch for one incredible brown beer.24 IBU\t",5.5,25,50,11,58,6,47,49,5,1,3,50,5,110,3.5,3.785714,3.642857,3.642857,3.642857,Springfield,MO,US,"Brewery, Bar, Beer-to-go"
Altbier,Rising Tide Brewing Company,Rising Tide Brewing Company Ishmael,"Notes:Ishmael is our richly-flavored American copper ale. This American interpretation of the altbiers of Düsseldorf is brewed with continental Munich malt, American-grown hops, and a clean-fermenting ale yeast to produce a slightly sweet and malty beer balanced by a firm bitterness.\t",4.9,25,50,17,41,1,55,43,18,1,20,80,7,103,3.528571,3.914286,3.814286,3.914286,3.9,Portland,ME,US,"Brewery, Bar, Beer-to-go"
